2M05380161+3712239,apVisit-r3-5608-55960-029.fits,29,5608,55960,4431,84.506732,37.206645999999999,172.13188271474689,3.011783749263707,12.312,0.023,11.618,0.03,11.427,0.026,0.204714, RJCE_WISE ,0.216648,0.879582,84.506746000000007,37.206670000000003,-2147481600,0,APOGEE_SHORT                   ,45.7925,512,PERSIST_HIGH                ,2012-02-03T01:17:44.272,2455960.5773100001,-21.4317,2,59.1939,0.0437832,37.7623,28.9645,59.0394,2.75488,5000.0,0.0,3.5,99.9,99.9,apg_rvsynthgrid.fits
2M05371650+3717268,apVisit-r3-5608-55960-018.fits,18,5608,55960,4431,84.318780000000004,37.290782999999998,171.98063590634666,2.9302431356188037,12.934,0.019,12.164,0.021,11.949,0.021,0.239598, RJCE_WISE ,0.232254,0.971255,84.318770000000001,37.290810999999998,-2147481600,0,APOGEE_SHORT                   ,28.21,512,PERSIST_HIGH                ,2012-02-03T01:17:44.272,2455960.5773100001,-21.4763,2,21.3634,0.0921011,-0.11288,-8.90415,21.7474,2.3562,6000.0,0.0,3.5,99.9,99.9,apg_rvsynthgrid.fits
2M05374972+3736113,apVisit-r3-5608-55960-019.fits,19,5608,55960,4431,84.457189999999997,37.603161,171.77497976351069,3.1900144191211877,12.396,0.021,11.937,0.028,11.811,0.021,0.0422286, RJCE_WISE ,0.033048,0.9178,84.457184999999996,37.603180999999999,-2147481600,0,APOGEE_SHORT                   ,35.9988,512,PERSIST_HIGH                ,2012-02-03T01:17:44.272,2455960.5773100001,-21.4038,2,3.46414,0.0640861,-17.9396,-26.6725,4.75215,2.85783,5000.0,0.0,5.0,99.9,99.9,apg_rvsynthgrid.fits
2M05374060+3734495,apVisit-r3-5608-55960-017.fits,17,5608,55960,4431,84.419184999999999,37.580424999999998,171.77814015090749,3.1524133559276435,11.057,0.019,10.151,0.028,9.866,0.02,0.29835, RJCE_WISE ,0.306612,0.921689,84.419139999999999,37.580444999999997,-2147481600,0,APOGEE_SHORT                   ,95.6739,512,PERSIST_HIGH                ,2012-02-03T01:17:44.272,2455960.5773100001,-21.417,2,51.2802,0.0166831,29.8632,21.1249,52.5387,5.05146,5000.0,0.0,3.5,99.9,99.9,apg_rvsynthgrid.fits
2M05374159+3721393,apVisit-r3-5608-55960-021.fits,21,5608,55960,4431,84.423316999999997,37.360942999999999,171.96574431128869,3.0379998426572801,9.896,0.023,9.947,0.028,9.942,0.025,-0.039474, RJCE_WISE ,-0.031212,0.914815,84.423314000000005,37.360930000000003,-2147483584,-2147483136,"APOGEE_NO_DERED,APOGEE_TELLURIC",105.983,512,PERSIST_HIGH                ,2012-02-03T01:17:44.272,2455960.5773100001,-21.4392,2,32.5439,3.46081,11.1047,2.3295,33.0346,4.14298,7000.0,-2.0,5.0,99.9,99.9,apg_rvsynthgrid.fits
2M05380709+3722083,apVisit-r3-5608-55960-015.fits,15,5608,55960,4431,84.529554000000005,37.368977000000001,172.00405234018757,3.1137009281763515,9.808,0.021,9.857,0.028,9.836,0.025,-0.00826166, RJCE_WISE ,0.109242,0.897609,84.529544999999999,37.368963999999998,-2147483584,-2147483136,"APOGEE_NO_DERED,APOGEE_TELLURIC",112.288,512,PERSIST_HIGH                ,2012-02-03T01:17:44.272,2455960.5773100001,-21.4081,2,6.22028,1.15688,-15.1879,-23.9574,6.60014,4.07004,8000.0,-2.0,5.0,99.9,99.9,apg_rvsynthgrid.fits
2M05380982+3727053,apVisit-r3-5608-55960-020.fits,20,5608,55960,4431,84.540921999999995,37.451484999999998,171.93895488265571,3.1653162719978796,10.855,0.022,9.98,0.028,9.719,0.025,0.254286, RJCE_WISE ,0.253368,0.813578,84.540912000000006,37.451504999999997,-2147481600,0,APOGEE_SHORT                   ,105.508,512,PERSIST_HIGH                ,2012-02-03T01:17:44.272,2455960.5773100001,-21.3962,2,69.1126,0.0156623,47.7164,38.9613,69.7644,5.62365,5000.0,0.0,3.5,99.9,99.9,apg_rvsynthgrid.fits
2M05381301+3726030,apVisit-r3-5608-55960-024.fits,24,5608,55960,4431,84.554226999999997,37.434181000000002,171.95925751336574,3.1650348810496114,10.858,0.021,10.159,0.027,9.992,0.024,0.173502, RJCE_WISE ,0.291006,0.864808,84.554265999999998,37.434201000000002,-2147481600,0,APOGEE_SHORT                   ,97.4782,512,PERSIST_HIGH                ,2012-02-03T01:17:44.272,2455960.5773100001,-21.3942,2,19.9803,0.016318,-1.41393,-10.1714,20.5546,4.68834,5000.0,0.0,3.5,99.9,99.9,apg_rvsynthgrid.fits
2M05384844+3701326,apVisit-r3-5608-55960-115.fits,115,5608,55960,4431,84.701840000000004,37.025737999999997,172.36818966853076,3.0471159648766761,13.213,0.023,12.123,0.024,11.801,0.023,0.433296, RJCE_WISE ,0.437886,1.11109,84.701840000000004,37.025737999999997,-2147481600,0,APOGEE_SHORT                   ,41.7947,0,                            ,2012-02-03T01:17:44.272,2455960.5773100001,-21.3946,2,17.4156,0.039162,-3.97908,-12.7991,16.3771,2.81361,4500.0,0.0,3.5,99.9,99.9,apg_rvsynthgrid.fits
2M05383382+3705461,apVisit-r3-5608-55960-113.fits,113,5608,55960,4431,84.640945000000002,37.096164999999999,172.28258293435925,3.0434409984769517,11.412,0.021,10.52,0.017,10.263,0.019,0.310284, RJCE_WISE ,0.309366,1.03115,84.640936999999994,37.096189000000003,-2147481600,0,APOGEE_SHORT                   ,91.355,4,BRIGHT_NEIGHBOR             ,2012-02-03T01:17:44.272,2455960.5773100001,-21.4048,2,22.3601,0.0198482,0.955253,-7.8555,21.6461,3.64981,5000.0,0.0,3.5,99.9,99.9,apg_rvsynthgrid.fits
