4995.2,2.08,-2.2
4819.3,1.35,-2.32
5075.4,2.4,-2.21
5075.3,2.43,-2.24
4923.2,1.65,-2.34
4945.6,1.92,-2.25
4920.2,1.93,-2.21
5068.1,2.38,-2.24
4896.5,1.84,-2.18
5048.6,2.22,-2.17
4767.4,1.42,-2.2
4929.7,1.91,-2.37
4851.4,1.67,-2.2
4950.5,2.11,-2.19
4794.4,1.54,-2.23
4782.1,1.4,-2.23
5234.1,2.65,-2.33
5041.8,2.29,-2.18
4898.8,1.76,-2.24
4746.9,1.31,-2.19
4896.4,1.88,-2.18
5027.6,1.75,-2.3
4960.9,2.16,-2.2
4934.4,1.85,-2.23
4917.6,1.87,-2.22
5064.4,2.38,-2.28
4903.4,1.46,-2.25
5076.8,2.09,-2.38
4802.8,1.32,-2.21
5276.6,2.36,-2.39
4901.6,1.85,-2.23
5115.1,2.05,-2.33
5067.8,2.24,-2.19
5158.4,2.59,-2.22
5053.9,2.25,-2.21
4970.2,2.01,-2.19
5230.3,2.62,-2.31
5086.9,2.3,-2.23
4519.2,0.92,-2.14
4417,0.36,-2.49
4364.5,0.38,-2.42
4622.8,0.97,-2.51
4668.2,1,-2.26
4574.4,0.93,-2.24
4475.8,0.85,-2.18
4457.8,0.52,-2.45
4473.7,0.79,-2.16
4594.7,1.15,-2.11
4781.2,1.38,-2.3
4884,1.77,-2.29
4846.3,1.57,-2.11
4585.4,0.93,-2.14
4449.4,0.63,-2.25
4459.4,0.71,-2.27
4269,-0.18,-2.45
4630,0.81,-2.29
4373.5,0.39,-2.33
4579.8,0.66,-2.2
4624.7,1.03,-2.09
4754.1,1.34,-2.11
4758.9,1.27,-2.09
4788,1.53,-2.07
4440,0.79,-1.97
4286,0.53,-1.96
4171.4,0.37,-1.89
4518.8,1.06,-1.94
4521.9,0.88,-2.19
4552.4,0.95,-2.01
4520.9,0.75,-2.33
4588.4,1.16,-1.91
4291.1,0.29,-2.12
4510.2,0.88,-2.16
4630.9,1.28,-2.03
4414.5,0.6,-2.14
4504.6,0.78,-2.11
4916.9,1.87,-2.07
4466.4,0.89,-1.96
4582,1.14,-2.08
4350,0.87,-1.87
4417.8,0.91,-2.01
4479.5,0.92,-2.02
4262.3,0.5,-2.12
4625.2,1.28,-2.04
5003.2,2.04,-1.61
4385.4,0.95,-1.95
4589.3,0.87,-1.89
4846.2,2.05,-1.7
4881.2,1.98,-1.65
5022.2,2.42,-1.49
4722.3,1.87,-1.5
4872,2.1,-1.69
4927.9,2.13,-1.69
4808.2,2.07,-1.53
5033.9,2.6,-1.54
4785.1,2,-1.51
5029.9,2.52,-1.57
5053.2,2.54,-1.58
4747,1.71,-1.71
4907.3,2.22,-1.68
4798.4,1.61,-1.77
4905.1,2.25,-1.54
4769.3,1.72,-1.64
5040.6,2.29,-1.69
5024.9,2.31,-1.64
4775.8,2,-1.5
4825.6,2.06,-1.55
5033.2,2.38,-1.63
4804.4,1.88,-1.64
4743.7,1.91,-1.48
4802.4,1.6,-1.77
5063.6,2.39,-1.65
5103.6,1.95,-1.84
4903.6,2.11,-1.49
4786.7,1.7,-1.7
4900.7,2.11,-1.57
4913.5,2.23,-1.68
4958.1,2.35,-1.56
5001.2,2.33,-1.55
4985.4,2.36,-1.54
5054.7,2.44,-1.52
4780.2,1.77,-1.66
5037.8,2.5,-1.58
4983.7,2.47,-1.52
5050,2.14,-1.76
4883.7,2.12,-1.62
5071.6,2.66,-1.39
4793.4,1.92,-1.6
4552,1.46,-1.68
4678.4,1.51,-1.8
4287.2,0.85,-1.7
4611.4,1.86,-1.38
4333.1,0.87,-1.78
4704.6,1.82,-1.57
4540.5,1.66,-1.54
4687.3,2.07,-1.34
4694.4,1.76,-1.59
4365,1.65,-1.35
4319.6,1.27,-1.52
4620.7,1.96,-1.31
4320.1,1.29,-1.48
4392.7,1.55,-1.42
4646.1,1.62,-1.65
4669.1,1.62,-1.68
4675.9,1.76,-1.54
4261.6,1.17,-1.46
4309.1,1.07,-1.62
4688.8,1.6,-1.73
4660.2,1.47,-1.75
3930.6,0,-1.58
4711,1.44,-1.65
4419.3,1.1,-1.72
4327.7,1.37,-1.48
4592.2,1.64,-1.57
4362.2,1.01,-1.66
4652,1.28,-1.78
4561.2,1.17,-1.7
4450.8,1.35,-1.62
4736.7,1.86,-1.51
4904.2,2.02,-1.61
4724.4,1.76,-1.46
4750.1,1.53,-1.66
4772.3,1.74,-1.62
4889.4,2.05,-1.53
4483.7,1.09,-1.69
4280.2,0.92,-1.64
4527,1.47,-1.53
4599.5,1.6,-1.52
4426.5,1.46,-1.52
4512.7,1.07,-1.7
4408.6,1.2,-1.62
4383.2,1.49,-1.41
4537.1,1.46,-1.56
4347,0.98,-1.66
4290.6,1.14,-1.56
4113,0.68,-1.58
4773.7,2,-1.51
5090.7,2.33,-1.51
4733.4,1.81,-1.49
5046.2,2.25,-1.57
4789.6,1.92,-1.66
5235.6,2.85,-1.76
4918.9,1.99,-1.55
5096.4,2.28,-1.69
5041.8,2.25,-1.67
4779.9,1.97,-1.48
4720.5,1.72,-1.71
5027.8,2.26,-1.51
5228.2,2.93,-1.25
4885.4,2.25,-1.49
4740.7,1.81,-1.59
5091.6,2.65,-1.37
4782.6,1.91,-1.57
5090.3,2.31,-1.71
4737.3,1.71,-1.64
4999.5,2.11,-1.65
5028.7,2.1,-1.6
4851.4,1.87,-1.62
4802.3,2.02,-1.44
4804.7,2.03,-1.48
5282.1,2.51,-1.78
4790.1,1.99,-1.51
4765,1.83,-1.67
4796.4,1.98,-1.51
4895.1,2.25,-1.52
5069.5,2.31,-1.67
4743.9,1.7,-1.81
